"rating","text","ts","bot_percentage","profileimage"
"","","","0","http://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_400x400.jpg"
"-0.1777777777777778","RT @ObamaFoundation: This week—50 years since Dr. Martin Luther King, Jr. was killed—@BarackObama and @RepJohnLewis sat down with a group o…","1522832758.0","",""
"0.13333333333333333","Incredible to have a Chicago team in the Final Four. I’ll take that over an intact bracket any day! Congratulations… https://t.co/V9IbaSlbIp","1521972271.0","",""
"0.1","Michelle and I are so inspired by all the young people who made today’s marches happen. Keep at it. You’re leading… https://t.co/d0DTg594Cs","1521891467.0","",""
"0.375","Our most important task as a nation is to make sure all our young people can achieve their dreams. We’ve started th… https://t.co/gNw9ks6pMY","1521476298.0","",""
"0.1","In Singapore with young people who are advocating for education, empowering young women, and getting involved all o… https://t.co/V5uHCeMWUa","1521452402.0","",""
"0.0","41: I like the competition. And the loyalty to the home team. - 44 https://t.co/XG3ChMtW0M","1521139938.0","",""
"0.0","Congrats to @LoyolaChicago and Sister Jean for a last-second upset - I had faith in my pick!","1521135962.0","",""
"0.22916666666666666","Just because I have more time to watch games doesn’t mean my picks will be better, but here are my brackets this ye… https://t.co/gWpZwlceV3","1521038579.0","",""
"0.3","Have fun out there among the stars. https://t.co/S285MTwGtp","1521019739.0","",""
"0.0","Four years ago, @MichelleObama and I had the privilege to host Lt. Cmdr. Dan Cnossen and his fellow Paralympians an… https://t.co/kneWyU2Tu1","1520858561.0","",""
"0.3","I got my start holding community meetings in Chicago, so it was fun to be home for one tonight. Michelle and I want… https://t.co/1ammpZayJx","1519766921.0","",""
"0.4228571428571429","Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless stu… https://t.co/wXO3wBtJ8V","1519295444.0","",""
"0.15","Billy Graham was a humble servant who prayed for so many - and who, with wisdom and grace, gave hope and guidance t… https://t.co/V8WtgIRPEB","1519210984.0","",""
"0.25","We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can hon… https://t.co/LWGSkzRapH","1518694937.0","",""
"0.65","Happy Valentine’s Day, @MichelleObama. You make every day and every place better. https://t.co/aWvyytR7Mm","1518605703.0","",""
"0.2041666666666667","RT @MichelleObama: Happy #ValentinesDay to my one and only, @BarackObama. To celebrate the occasion, I’m dedicating a little Valentine’s Da…","1518605662.0","",""
"-0.25","Dr. King was 26 when the Montgomery bus boycott began. He started small, rallying others who believed their efforts… https://t.co/N0zwBg7gTi","1516007762.0","",""
"0.0","All across America people chose to get involved, get engaged and stand up. Each of us can make a difference, and al… https://t.co/zxpKVnNeHZ","1514544071.0","",""
"0.35","Ten-year-old Jahkil Jackson is on a mission to help homeless people in Chicago. He created kits full of socks, toil… https://t.co/7mNk6dmnyC","1514544036.0","",""
"0.1","Chris Long gave his paychecks from the first six games of the NFL season to fund scholarships in Charlottesville, V… https://t.co/KxUk5Wle6h","1514544004.0","",""
